0.00,0.45,8
0.45,0.91,9.7
0.91,1.36,11.4
1.36,1.81,13.2
1.81,2.27,15.5
2.27,2.72,17.8
2.72,3.18,19.6
3.18,3.63,21.4
3.63,4.08,23.2
4.08,4.54,25
4.54,4.99,26.8
4.99,5.44,28.6
5.44,5.90,30.4
5.90,6.35,32.2
6.35,6.80,34
6.80,7.26,35.8
7.26,7.71,37.6
7.71,8.16,39.4
8.16,8.62,41.2
8.62,9.07,43
9.07,9.53,44.8
9.53,9.98,46.6
9.98,10.43,48.4
10.43,10.89,50.2
10.89,11.34,52
11.34,11.79,53.8
11.79,12.25,55.6
12.25,12.70,57.4
12.70,13.15,59.2
13.15,13.61,61
13.61,14.06,62.8
14.06,14.51,64.6
14.51,14.97,66.4
14.97,15.42,68.2
15.42,15.88,70
15.88,16.33,71.8
16.33,16.78,73.6
16.78,17.24,75.4
17.24,17.69,77.2
17.69,18.14,79
18.14,18.60,80.8
18.60,19.05,82.6
19.05,19.50,84.4
19.50,19.96,86.2
19.96,20.41,88
20.41,20.87,89.8
20.87,21.32,91.6
21.32,21.77,93.4
21.77,22.23,95.2
22.23,22.68,97
22.68,23.13,98.8
23.13,23.59,100.6
23.59,24.04,102.4
24.04,24.49,104.2
24.49,24.95,106
24.95,25.40,107.8
25.40,25.85,109.6
25.85,26.31,111.4
26.31,26.76,113.2
26.76,27.22,115
27.22,27.67,116.8
27.67,28.12,118.6
28.12,28.58,120.4
28.58,29.03,122.2
29.03,29.48,124
29.48,29.94,125.8
29.94,30.39,139.3
30.39,30.84,140.8
30.84,31.30,142.3
31.30,31.75,143.8
31.75,32.21,145.3
32.21,32.66,146.8
32.66,33.11,148.3
33.11,33.57,149.8
33.57,34.02,151.3
34.02,34.47,152.8
34.47,34.93,154.3
34.93,35.38,155.8
35.38,35.83,157.3
35.83,36.29,158.8
36.29,36.74,160.3
36.74,37.19,161.8
37.19,37.65,163.3
37.65,38.10,164.8
38.10,38.56,166.3
38.56,39.01,167.8
39.01,39.46,169.3
39.46,39.92,170.8
39.92,40.37,172.3
40.37,40.82,173.8
40.82,41.28,175.3
41.28,41.73,176.8
41.73,42.18,178.3
42.18,42.64,179.8
42.64,43.09,181.3
43.09,43.54,182.8
43.54,44.00,184.3
44.00,44.45,185.8
44.45,44.91,187.3
44.91,45.36,188.8
45.36,45.81,190.3
45.81,46.27,191.8
46.27,46.72,193.3
46.72,47.17,194.8
47.17,47.63,196.3
47.63,48.08,197.8
48.08,48.53,199.3
48.53,48.99,200.8
48.99,49.44,202.3
49.44,49.90,203.8
49.90,50.35,235.3
50.35,50.80,236.8
50.80,51.26,238.3
51.26,51.71,239.8
51.71,52.16,241.3
52.16,52.62,242.8
52.62,53.07,244.3
53.07,53.52,245.8
53.52,53.98,247.3
53.98,54.43,248.8
54.43,54.88,250.3
54.88,55.34,251.8
55.34,55.79,253.3
55.79,56.25,254.8
56.25,56.70,256.3
56.70,57.15,257.8
57.15,57.61,259.3
57.61,58.06,260.8
58.06,58.51,262.3
58.51,58.97,263.8
58.97,59.42,265.3
59.42,59.87,266.8
59.87,60.33,268.3
60.33,60.78,269.8
60.78,61.23,271.3
61.23,61.69,272.8
61.69,62.14,274.3
62.14,62.60,275.8
62.60,63.05,277.3
63.05,63.50,278.8
63.50,63.96,280.3
63.96,64.41,281.8
64.41,64.86,283.3
64.86,65.32,284.8
65.32,65.77,286.3
65.77,66.22,287.8
66.22,66.68,289.3
66.68,67.13,290.8
67.13,67.59,292.3
67.59,68.04,293.8
68.04,68.49,295.3
68.49,68.95,296.8
68.95,69.40,298.3
69.40,69.85,299.8
69.85,70.31,301.3
70.31,70.76,302.8
70.76,71.21,304.3
71.21,71.67,305.8
71.67,72.12,307.3
72.12,72.57,308.8
72.57,73.03,310.3
73.03,73.48,311.8
73.48,73.94,313.3
73.94,74.39,314.8
74.39,74.84,316.3
74.84,75.30,317.8
75.30,75.75,319.3
75.75,76.20,320.8
76.20,76.66,322.3
76.66,77.11,323.8
77.11,77.56,325.3
77.56,78.02,326.8
78.02,78.47,328.3
78.47,78.93,329.8
78.93,79.38,331.3
79.38,79.83,332.8
79.83,80.29,334.3
80.29,80.74,335.8
80.74,81.19,337.3
81.19,81.65,338.8
81.65,82.10,340.3
82.10,82.55,341.8
82.55,83.01,343.3
83.01,83.46,344.8
83.46,83.91,346.3
83.91,84.37,347.8
84.37,84.82,349.3
84.82,85.28,350.8
85.28,85.73,352.3
85.73,86.18,353.8
86.18,86.64,355.3
86.64,87.09,356.8
87.09,87.54,358.3
87.54,88.00,359.8
88.00,88.45,361.3
88.45,88.90,362.8
88.90,89.36,364.3
89.36,89.81,365.8
89.81,90.26,367.3
90.26,90.72,368.8
